"filename", "language", "Markdown", "Java", "comment", "blank", "total"
"/Users/zhangyiyao/Desktop/FBDP/src/main/java/final/exp4_report.md", "Markdown", 10, 0, 0, 8, 18
"/Users/zhangyiyao/Desktop/FBDP/src/main/java/fis/Combination.java", "Java", 0, 40, 0, 8, 48
"/Users/zhangyiyao/Desktop/FBDP/src/main/java/fis/FreqItemSet.java", "Java", 0, 175, 0, 32, 207
"/Users/zhangyiyao/Desktop/FBDP/src/main/java/fis/README.md", "Markdown", 33, 0, 0, 15, 48
"/Users/zhangyiyao/Desktop/FBDP/src/main/java/fof/Friends.java", "Java", 0, 338, 0, 48, 386
"/Users/zhangyiyao/Desktop/FBDP/src/main/java/fof/README.md", "Markdown", 41, 0, 0, 24, 65
"/Users/zhangyiyao/Desktop/FBDP/src/main/java/wc/README.md", "Markdown", 57, 0, 0, 28, 85
"/Users/zhangyiyao/Desktop/FBDP/src/main/java/wc/WordCount.java", "Java", 0, 188, 6, 29, 223
"/Users/zhangyiyao/Desktop/FBDP/src/main/java/wc/WordCount_by_year.java", "Java", 0, 210, 7, 33, 250
"Total", "-", 141, 951, 13, 225, 1330